,filename,genre,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9
0,blues.00018.wav,blues,0.08888533,0.042337988,0.06395887,0.078396775,0.10067301,0.11899459,0.057743434,0.13617635,0.16872224,0.14411142
1,blues.00022.wav,blues,0.07079296,0.040117003,0.044912957,0.090334415,0.103012845,0.07470756,0.027740126,0.17981929,0.27852353,0.09003924
2,blues.00025.wav,blues,0.05851943,0.09070816,0.07674599,0.08718088,0.12206565,0.12562327,0.036504395,0.17682327,0.14214292,0.083686
3,blues.00034.wav,blues,0.09407815,0.041774515,0.09743519,0.085354015,0.06788008,0.15194808,0.076810755,0.092122175,0.121434875,0.17116205
4,blues.00045.wav,blues,0.07420911,0.054224566,0.068479806,0.07067967,0.08609809,0.10122572,0.017640088,0.24692671,0.19661722,0.083899006
5,blues.00048.wav,blues,0.19105235,0.017415045,0.12659748,0.09383908,0.07264232,0.056073938,0.10852632,0.042057347,0.054567706,0.23722841
6,blues.00054.wav,blues,0.08046772,0.046659496,0.05049457,0.070521146,0.12656507,0.08570123,0.03439799,0.20076014,0.20796242,0.09647023
7,blues.00058.wav,blues,0.08235121,0.04512369,0.07305783,0.08759589,0.08599527,0.12367226,0.04904373,0.14711852,0.18726091,0.11878069
8,blues.00074.wav,blues,0.08648886,0.0743855,0.05525772,0.0763405,0.12142623,0.10199877,0.080108255,0.13474065,0.15636986,0.11288368
9,blues.00080.wav,blues,0.042515576,0.034327038,0.03230627,0.06858782,0.15657324,0.061576042,0.013714949,0.23055695,0.32461518,0.03522691
10,classical.00014.wav,classical,0.035552595,0.29800004,0.056201234,0.094474375,0.07829488,0.09365445,0.01854376,0.15829894,0.13139641,0.035583276
11,classical.00017.wav,classical,0.041809864,0.4106334,0.05354785,0.06948239,0.05511405,0.086893894,0.017398415,0.13883726,0.08200399,0.044278964
12,classical.00022.wav,classical,0.095716916,0.049994666,0.09678273,0.07297821,0.059156846,0.17778549,0.11971458,0.055426423,0.06296828,0.20947589
13,classical.00025.wav,classical,0.15026058,0.028510408,0.15755212,0.1005189,0.068808466,0.090456694,0.040386453,0.09176456,0.072481945,0.19925979
14,classical.00038.wav,classical,0.08294775,0.08168896,0.05543107,0.08106978,0.124096155,0.08344798,0.080415286,0.11999031,0.14948386,0.1414288
15,classical.00052.wav,classical,0.037001964,0.15949975,0.054194,0.078491144,0.12610225,0.09536361,0.021133184,0.21328913,0.1750093,0.03991569
16,classical.00054.wav,classical,0.084827684,0.038557664,0.1446258,0.09087373,0.05750101,0.189595,0.03250067,0.115636766,0.09436401,0.15151773
17,classical.00059.wav,classical,0.13875128,0.021575108,0.15263101,0.07393207,0.05994424,0.108561665,0.049580432,0.10111182,0.074190676,0.21972166
18,classical.00064.wav,classical,0.038080256,0.31793997,0.073288746,0.119550936,0.08462224,0.0845147,0.024854578,0.11961923,0.101651594,0.03587773
19,classical.00094.wav,classical,0.1724183,0.017123453,0.12739576,0.09481619,0.07019777,0.0780413,0.058789294,0.0699801,0.07846676,0.23277108
20,country.00000.wav,country,0.13731968,0.021669231,0.0955724,0.11105307,0.11026769,0.06495272,0.07840462,0.08500488,0.11394167,0.18181401
21,country.00008.wav,country,0.042670533,0.47184274,0.06429583,0.061594777,0.047011577,0.08318214,0.029864084,0.097434424,0.048221488,0.05388244
22,country.00018.wav,country,0.033954218,0.24109095,0.053078372,0.056462787,0.05388581,0.18064578,0.021929735,0.18602355,0.10983729,0.06309155
