,filename,split_id,genre,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9
0,blues.00018.wav,0,blues,0.23866197,0.14313035,0.01403576,0.004877516,0.03109825,0.44447201,0.00012366887,0.01299627,0.109104745,0.0014993756
1,blues.00018.wav,1,blues,0.19157363,0.14175293,0.011931913,0.0030769468,0.01631469,0.5609368,4.420804e-05,0.008359974,0.06518064,0.0008282925
2,blues.00018.wav,2,blues,0.15823275,0.082796246,0.04723173,0.008438274,0.014683846,0.60918236,0.00012231778,0.021810539,0.05376066,0.0037413295
3,blues.00018.wav,3,blues,0.2463244,0.14596693,0.049455453,0.004575091,0.011549458,0.48360035,0.00017606308,0.010387181,0.045533303,0.002431805
4,blues.00018.wav,4,blues,0.15750018,0.20029636,0.03563297,0.0049696434,0.0129472,0.51302785,0.00015882532,0.013494794,0.059136238,0.0028360144
5,blues.00018.wav,5,blues,0.13862938,0.10130003,0.038702898,0.008581722,0.022364242,0.5550995,0.00029499628,0.031743124,0.09745426,0.005829836
6,blues.00018.wav,6,blues,0.13514407,0.2542403,0.013027756,0.0024947037,0.010584744,0.5210199,2.7084776e-05,0.0069949552,0.05575603,0.00071048015
7,blues.00018.wav,7,blues,0.17046879,0.19881272,0.01777262,0.0027127685,0.011104799,0.5318379,2.9316974e-05,0.007897706,0.058601778,0.0007615905
8,blues.00018.wav,8,blues,0.1254276,0.27095687,0.016389191,0.0028484229,0.009339218,0.5195137,3.2925633e-05,0.0072325566,0.047348864,0.0009105691
9,blues.00018.wav,9,blues,0.2669768,0.091711804,0.035391398,0.008062199,0.029976305,0.4417574,0.00023938615,0.021461722,0.101137996,0.0032849384
10,blues.00018.wav,10,blues,0.22574265,0.032285046,0.14159669,0.018403525,0.031025702,0.35520104,0.0010637069,0.06673351,0.11158152,0.01636665
11,blues.00018.wav,11,blues,0.14993642,0.04499043,0.2387669,0.016534401,0.012975323,0.41035247,0.001150886,0.051239274,0.05093033,0.023123603
12,blues.00018.wav,12,blues,0.2761176,0.15509222,0.014883064,0.008178032,0.06242659,0.262289,0.00016080777,0.019259743,0.19977124,0.0018217632
13,blues.00018.wav,13,blues,0.23977019,0.16683738,0.014421842,0.00788609,0.05232344,0.3003981,5.2332776e-05,0.019637305,0.1974938,0.001179464
14,blues.00022.wav,0,blues,0.16595574,0.3567676,0.017399777,0.0025658214,0.013759945,0.3480727,4.298217e-05,0.007882578,0.08674605,0.0008067519
15,blues.00022.wav,1,blues,0.17312028,0.36569253,0.029276883,0.0053407946,0.018453132,0.30496803,9.716838e-05,0.01199941,0.08923182,0.0018199189
16,blues.00022.wav,2,blues,0.21617667,0.18958688,0.027491352,0.0070740567,0.03192147,0.34846488,6.777145e-05,0.021044873,0.15647927,0.001692797
17,blues.00022.wav,3,blues,0.17438577,0.074191175,0.011953214,0.013808181,0.10013799,0.21642144,5.998528e-05,0.045154776,0.36208633,0.001801114
18,blues.00022.wav,4,blues,0.1531033,0.36318585,0.011788277,0.0025185775,0.010717743,0.40813085,3.3319877e-05,0.0047390084,0.045143377,0.0006396562
19,blues.00022.wav,5,blues,0.38402385,0.16198201,0.17386913,0.009791059,0.01522624,0.19117564,0.003089521,0.0117471395,0.03753434,0.011561074
20,blues.00022.wav,6,blues,0.107104376,0.33302668,0.2130787,0.009522471,0.0047317217,0.28005403,0.002885169,0.011130042,0.014694861,0.023771975
21,blues.00022.wav,7,blues,0.08724007,0.39512032,0.059932355,0.0063331896,0.0049173906,0.41734987,0.00037659367,0.007304599,0.01514049,0.006285103
22,blues.00022.wav,8,blues,0.12906294,0.39904848,0.03581116,0.003706208,0.0058263596,0.39944515,0.00023233809,0.0048345816,0.019313255,0.0027195944
23,blues.00022.wav,9,blues,0.20407644,0.2472359,0.13615164,0.0056898817,0.005036962,0.3724082,0.0005995284,0.006862294,0.015862674,0.0060764668
24,blues.00022.wav,10,blues,0.30342227,0.13440663,0.13880947,0.009563002,0.013678415,0.33489916,0.000990682,0.01529056,0.040495295,0.008444542
25,blues.00022.wav,11,blues,0.26004294,0.20406467,0.017798446,0.0021717935,0.008674293,0.47258976,4.6639656e-05,0.003657108,0.030338198,0.0006161125
26,blues.00022.wav,12,blues,0.18910222,0.28813207,0.01510157,0.0033619546,0.018064396,0.38043046,2.4932013e-05,0.008960021,0.09617018,0.00065224856
27,blues.00022.wav,13,blues,0.10250587,0.52631307,0.014782927,0.003994154,0.014741772,0.2575482,7.418551e-05,0.008155234,0.0705004,0.0013841701
28,blues.00025.wav,0,blues,0.33972144,0.028646111,0.06764444,0.029763268,0.097643875,0.16268855,0.0017135416,0.06375326,0.19506112,0.013364342
29,blues.00025.wav,1,blues,0.23473673,0.030447422,0.01534733,0.02122914,0.1907241,0.08687805,0.001855164,0.052660625,0.35818234,0.007939053
30,blues.00025.wav,2,blues,0.30397585,0.07989221,0.022767788,0.01622012,0.13430955,0.093582526,0.0016164546,0.034231953,0.30707732,0.0063261488
31,blues.00025.wav,3,blues,0.28750154,0.029221926,0.07178136,0.028406654,0.09702149,0.16156188,0.0026125058,0.077307545,0.22655289,0.018032162
32,blues.00025.wav,4,blues,0.27225855,0.009184602,0.08884128,0.051530764,0.16067508,0.042248752,0.011113265,0.09919621,0.22800502,0.03694655
33,blues.00025.wav,5,blues,0.41374055,0.0695343,0.063618116,0.016318535,0.035751984,0.30824748,0.00030605312,0.02004366,0.06821934,0.00422001
34,blues.00025.wav,6,blues,0.28643107,0.13809022,0.012834072,0.008456537,0.059970506,0.30097494,7.811536e-05,0.017425073,0.17446943,0.0012700764
35,blues.00025.wav,7,blues,0.14985013,0.2690856,0.033307765,0.0074235275,0.016065732,0.45499352,0.0003271991,0.013126716,0.05135084,0.004469017
36,blues.00025.wav,8,blues,0.1551134,0.30569845,0.051441714,0.009665916,0.0134797655,0.40975827,0.00047098627,0.012109304,0.035963327,0.006298828
37,blues.00025.wav,9,blues,0.27628103,0.018055784,0.055128753,0.037946995,0.15311839,0.08367578,0.004189291,0.08488057,0.26609695,0.020626428
38,blues.00025.wav,10,blues,0.2538727,0.031886015,0.013792136,0.021008097,0.18837067,0.099559866,0.001168022,0.047475524,0.33680272,0.0060642813
39,blues.00025.wav,11,blues,0.17260493,0.06927274,0.011096681,0.023152439,0.19716449,0.10285714,0.002175689,0.049678635,0.36244872,0.009548458
40,blues.00025.wav,12,blues,0.33676246,0.24681182,0.030923638,0.006747724,0.029914923,0.25881416,0.00068240653,0.00976536,0.07623272,0.0033447584
41,blues.00025.wav,13,blues,0.18157203,0.06701102,0.13899487,0.062483616,0.06706436,0.21327351,0.0043895254,0.09296852,0.121121965,0.051120613
42,blues.00034.wav,0,blues,0.22605483,0.038780205,0.10060719,0.01809382,0.029537434,0.41536334,0.00015711004,0.05525931,0.10997868,0.0061680838
43,blues.00034.wav,1,blues,0.35033783,0.030276138,0.09361608,0.025623024,0.056843728,0.25344002,0.0007932776,0.053095285,0.12559122,0.010383359
44,blues.00034.wav,2,blues,0.27628657,0.037140947,0.10804692,0.01275622,0.01790805,0.45993403,0.0002006656,0.028736982,0.053755708,0.0052338797
45,blues.00034.wav,3,blues,0.41354367,0.02272144,0.07777138,0.03730804,0.08158616,0.19778624,0.0017697704,0.04828242,0.105112046,0.014118873
46,blues.00034.wav,4,blues,0.2860244,0.0049782903,0.0549432,0.05820327,0.20512977,0.046267714,0.009044413,0.097234994,0.20763412,0.030539785
